"codpanelista2","wave","sex","age","education","femindexa","femindexb","femindexc","femindexd","femindexe","femindexf","femindexg","femindexh","femindexi","immigeco","immicult","polintr","constpref","populisma","populismd","populismf","populismi","populismj","populismn","lrself","femstrike","femdemonstrate","feminfo","femtalk","vote2016","voteintentionspain","hhincome","livingpartner","indeprespect","curiosmanners","selfconfobed","empathybehave","idcode","time","nwaves","year","female","age4","cohort","g3cohort","edu3","edu3_1","edu3_2","edu3_3","hincome","hincome17all","hincome18all","hincome19all","hincome20all","hincome_all","x3hincall","dhincome_all","intpol","dintpol","ideol","ideo5","a_respect","a_manner","a_behave","a_obedient","authoritarian","natveco","natvcult","nativism","ip_populisma","ip_populismd","ip_populismf","ip_populismi","ip_populismj","ip_populismn","pop6amz","orgterr","imsex_1a","imsex_2b","imsex_3c","imsex_4d","imsex_5e","imsex_6f","imsex_7g","imsex_8h","imsex_9i","msexism","swim_msex","p8m_strike","p8m_demonst","p8m_mobiliz","p8m_talked","ip8m","vim_vox","vim_pp","rv16all","t1edu3","t1x3hincall","t1dintpol","t1ideo5","t1rv16all","t2partner","t2ip8m","l2vim_vox","lsvim_vox","l2authoritarian","lsauthoritarian","l2ideol","lsideol","l2nativism","lsnativism","l2orgterr","lsorgterr","l2pop6amz","lspop6amz","l2msexism","lsmsexism","l2swim_msex","lsswim_msex","posmsex","negmsex","posswim","negswim"
3,9,2,33,3,3,6,2,4,3,7,6,3,2,4,7,2,2,4,4,4,2,5,5,5,NA,NA,NA,NA,1,4,3,NA,2,2,2,1,3,0,4,2017,1,2,33,2,1,1,0,0,3,3,3,4,3,3,1,0.181818187236786,0.666666686534882,1,0.5,3,1,1,0,0,0.5,0.600000023841858,0.699999988079071,0.649999976158142,0.5,0.5,0.5,0.16666667163372,0.666666686534882,0.666666686534882,0.5,0.25,3,2,2,4,3,1,2,3,2,0.240740731358528,0.25,NA,NA,NA,NA,NA,0,0,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,2,34,3,2,5,3,2,3,7,6,3,1,5,4,1,1,5,5,5,1,4,2,5,1,1,1,1,1,4,3,1,2,2,2,1,3,1,4,2018,1,2,33,2,1,1,0,0,3,3,3,4,3,3,1,0.181818187236786,1,1,0.5,3,1,1,0,0,0.5,0.5,0.400000005960464,0.449999988079071,0.666666686534882,0.666666686534882,0.666666686534882,0,0.5,0.16666667163372,0.444444447755814,0,2,3,3,2,3,1,2,3,1,0.203703716397285,0.22916667163372,1,1,1,1,1,0,0,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,11,2,35,3,4,3,4,4,4,2,4,4,4,4,7,1,1,5,4,5,2,5,6,6,2,2,1,1,NA,23,4,0,2,1,2,1,3,2,4,2019,1,2,33,2,1,1,0,0,4,3,3,4,3,4,1,0.272727280855179,1,1,0.600000023841858,4,1,0,0,0,0.25,0.600000023841858,0.699999988079071,0.649999976158142,0.666666686534882,0.5,0.666666686534882,0.16666667163372,0.666666686534882,0.833333313465118,0.583333313465118,0,4,5,4,4,4,6,4,4,4,0.555555582046509,0.5625,0,0,1,1,0.5,1,0,1,1,1,1,3,1,1,1,0,0,0.5,0,0.5,0,0.649999976158142,-0.199999988079071,0.25,-0.25,0.5,-0.0555555522441864,0.240740731358528,-0.0370370149612427,0.25,-0.0208333283662796,0,-0.0370370149612427,0,-0.0208333283662796
3,12,2,36,3,3,5,3,3,4,5,5,4,4,3,8,1,2,5,4,4,2,5,5,5,2,2,2,1,NA,23,3,1,2,1,2,1,3,3,4,2020,1,3,33,2,1,1,0,0,3,3,3,4,3,3,1,0.181818187236786,1,1,0.5,3,1,0,0,0,0.25,0.699999988079071,0.800000011920929,0.75,0.666666686534882,0.5,0.5,0.16666667163372,0.666666686534882,0.666666686534882,0.527777791023254,0.25,3,3,3,3,4,3,3,4,4,0.388888865709305,0.375,0,0,0,1,0.25,1,0,1,1,1,1,3,1,1,1,0,1,0.5,-0.25,0.5,0.100000023841858,0.449999988079071,0.199999988079071,0,0,0.444444447755814,0.138888865709305,0.203703716397285,0.351851880550385,0.22916667163372,0.333333313465118,0.351851880550385,0,0.333333313465118,0
5,9,1,27,8,1,2,2,2,2,5,5,3,2,8,2,4,5,2,2,3,2,2,2,5,NA,NA,NA,NA,50,54,99,NA,2,1,2,2,5,0,4,2017,0,2,27,1,3,0,0,1,NA,7,7,7,8,7,2,0.545454561710358,0,0,0.5,3,1,0,1,0,0.5,0.200000002980232,0.200000002980232,0.200000002980232,0.16666667163372,0.16666667163372,0.333333343267441,0.16666667163372,0.16666667163372,0.16666667163372,0.194444447755814,1,1,6,2,2,2,3,3,3,2,0.277777791023254,0.291666656732559,NA,NA,NA,NA,NA,0,0,4,3,2,0,3,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,10,1,28,8,2,6,2,2,2,5,5,4,1,7,4,3,5,5,4,5,6,5,7,3,2,2,2,2,NA,54,99,1,2,1,2,2,5,1,4,2018,0,2,27,1,3,0,0,1,NA,7,7,7,8,7,2,0.545454561710358,0.333333343267441,0,0.300000011920929,2,1,0,1,0,0.5,0.300000011920929,0.400000005960464,0.350000023841858,0.666666686534882,0.5,0.666666686534882,0.833333313465118,0.666666686534882,1,0.722222208976746,1,2,2,2,2,2,3,3,4,1,0.222222208976746,0.25,0,0,0,0,0,0,0,4,3,2,0,3,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11,1,29,8,2,6,1,2,2,5,5,3,2,7,4,3,5,5,4,4,5,3,6,5,2,2,2,2,NA,7,7,1,2,2,2,1,5,2,4,2019,0,2,27,1,3,0,0,1,7,7,7,7,8,7,2,0.545454561710358,0.333333343267441,0,0.5,3,1,1,0,0,0.5,0.300000011920929,0.400000005960464,0.350000023841858,0.666666686534882,0.5,0.5,0.666666686534882,0.333333343267441,0.833333313465118,0.583333313465118,1,2,2,1,2,2,3,3,3,2,0.203703716397285,0.20833332836628,0,0,0,0,0,0,0,4,3,2,0,3,4,1,0,0,0,0.5,0,0.5,-0.199999988079071,0.200000002980232,0.150000020861626,1,0,0.194444447755814,0.527777791023254,0.277777791023254,-0.0555555820465088,0.291666656732559,-0.0416666567325592,0,-0.0555555820465088,0,-0.0416666567325592
5,12,1,30,8,2,5,5,2,3,6,5,3,3,7,5,3,5,5,5,4,5,3,6,5,2,2,2,2,NA,55,8,1,2,2,2,2,5,3,4,2020,0,2,27,1,3,0,0,1,8,7,7,7,8,8,2,0.636363625526428,0.333333343267441,0,0.5,3,1,1,1,0,0.75,0.300000011920929,0.5,0.400000005960464,0.666666686534882,0.666666686534882,0.5,0.666666686534882,0.333333343267441,0.833333313465118,0.611111104488373,1,2,3,5,2,3,2,3,3,3,0.314814805984497,0.3125,0,0,0,0,0,0,0,4,3,2,0,3,4,1,0,0,0,0.5,0,0.300000011920929,0.199999988079071,0.350000023841858,0,1,0,0.722222208976746,-0.138888895511627,0.222222208976746,-0.0185184925794601,0.25,-0.0416666716337204,0,-0.0185184925794601,0,-0.0416666716337204
8,9,2,35,8,4,4,4,4,4,4,5,4,4,7,2,4,1,5,4,4,7,5,7,5,NA,NA,NA,NA,NA,4,7,NA,2,2,2,1,8,0,1,2017,1,2,35,2,3,0,0,1,7,7,7,7,7,7,2,0.545454561710358,0,0,0.5,3,1,1,0,0,0.5,0.300000011920929,0.200000002980232,0.25,0.666666686534882,0.5,0.5,1,0.666666686534882,1,0.722222208976746,0,4,4,4,4,4,4,3,4,4,0.481481462717056,0.479166656732559,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,9,2,26,10,3,4,3,4,4,4,5,4,5,5,10,4,3,4,4,6,4,4,7,2,NA,NA,NA,NA,3,53,4,NA,2,2,2,1,10,0,4,2017,1,2,26,1,3,0,0,1,4,4,4,7,7,4,1,0.272727280855179,0,0,0.200000002980232,1,1,1,0,0,0.5,0.5,1,0.75,0.5,0.5,0.833333313465118,0.5,0.5,1,0.638888895511627,0.5,3,4,3,4,4,4,3,4,5,0.462962955236435,0.4375,NA,NA,NA,NA,NA,0,0,2,3,1,0,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
